href,title,difficulty,content,like,dislike,accepted,related_topics,similar_questions,hints,complete,submissions
https://leetcode.com/problems/integer-to-roman,12. Integer to Roman,Medium,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.
Symbol       Value
I             1
V             5
X             10
L             50
C             100
D             500
M             1000
For example, two is written as II in Roman numeral, just two one's added together. Twelve is written as, XII, which is simply X + II. The number twenty seven is written as XXVII, which is XX + V + II.
Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used:
I can be placed before V (5) and X (10) to make 4 and 9. 
X can be placed before L (50) and C (100) to make 40 and 90. 
C can be placed before D (500) and M (1000) to make 400 and 900.
Given an integer, convert it to a roman numeral. Input is guaranteed to be within the range from 1 to 3999.
Example 1:
Input: 3
Output: ""III""
Example 2:
Input: 4
Output: ""IV""
Example 3:
Input: 9
Output: ""IX""
Example 4:
Input: 58
Output: ""LVIII""
Explanation: L = 50, V = 5, III = 3.
Example 5:
Input: 1994
Output: ""MCMXCIV""
Explanation: M = 1000, CM = 900, XC = 90 and IV = 4.
",917,2483,327199,"https://leetcode.com/tag/math/
https://leetcode.com/tag/string/",,,y,606193.0
https://leetcode.com/problems/roman-to-integer,13. Roman to Integer,Easy,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.
Symbol       Value
I             1
V             5
X             10
L             50
C             100
D             500
M             1000
For example, two is written as II in Roman numeral, just two one's added together. Twelve is written as, XII, which is simply X + II. The number twenty seven is written as XXVII, which is XX + V + II.
Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used:
I can be placed before V (5) and X (10) to make 4 and 9. 
X can be placed before L (50) and C (100) to make 40 and 90. 
C can be placed before D (500) and M (1000) to make 400 and 900.
Given a roman numeral, convert it to an integer. Input is guaranteed to be within the range from 1 to 3999.
Example 1:
Input: ""III""
Output: 3
Example 2:
Input: ""IV""
Output: 4
Example 3:
Input: ""IX""
Output: 9
Example 4:
Input: ""LVIII""
Output: 58
Explanation: L = 50, V= 5, III = 3.
Example 5:
Input: ""MCMXCIV""
Output: 1994
Explanation: M = 1000, CM = 900, XC = 90 and IV = 4.
",1927,3315,627444,"https://leetcode.com/tag/math/
https://leetcode.com/tag/string/",,"I - 1
V - 5
X - 10
L - 50
C - 100
D - 500
M - 1000
Rules:
* If I comes before V or X, subtract 1 eg: IV = 4 and IX = 9
* If X comes before L or C, subtract 10 eg: XL = 40 and XC = 90
* If C comes before D or M, subtract 100 eg: CD = 400 and CM = 900
",y,1143801.0
https://leetcode.com/problems/longest-common-prefix,14. Longest Common Prefix,Easy,"Write a function to find the longest common prefix string amongst an array of strings.
If there is no common prefix, return an empty string """".
Example 1:
Input: [""flower"",""flow"",""flight""]
Output: ""fl""
Example 2:
Input: [""dog"",""racecar"",""car""]
Output: """"
Explanation: There is no common prefix among the input strings.
Note:
All given inputs are in lowercase letters a-z.
",2207,1730,681174,https://leetcode.com/tag/string/,,,y,1954549.0
https://leetcode.com/problems/3sum,15. 3Sum,Medium,"Given an array nums of n integers, are there elements a, b, c in nums such that a + b + c = 0? Find all unique triplets in the array which gives the sum of zero.
Note:
The solution set must not contain duplicate triplets.
Example:
Given array nums = [-1, 0, 1, 2, -1, -4],

A solution set is:
[
  [-1, 0, 1],
  [-1, -1, 2]
]
",6003,731,823893,"https://leetcode.com/tag/array/
https://leetcode.com/tag/two-pointers/",,"So, we essentially need to find three numbers x, y, and z such that they add up to the given value. If we fix one of the numbers say x, we are left with the two-sum problem at hand!
For the two-sum problem, if we fix one of the numbers, say
x
, we have to scan the entire array to find the next number
y
which is
value - x
where value is the input parameter. Can we change our array somehow so that this search becomes faster?
The second train of thought for two-sum is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?
",y,3181034.0
https://leetcode.com/problems/3sum-closest,16. 3Sum Closest,Medium,"Given an array nums of n integers and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution.
Example:
Given array nums = [-1, 2, 1, -4], and target = 1.

The sum that is closest to the target is 2. (-1 + 2 + 1 = 2).
",1759,124,439396,"https://leetcode.com/tag/array/
https://leetcode.com/tag/two-pointers/",,,y,960704.0
https://leetcode.com/problems/letter-combinations-of-a-phone-number,17. Letter Combinations of a Phone Number,Medium,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent.
A mapping of digit to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.

Example:
Input: ""23""
Output: [""ad"", ""ae"", ""af"", ""bd"", ""be"", ""bf"", ""cd"", ""ce"", ""cf""].
Note:
Although the above answer is in lexicographical order, your answer could be in any order you want.
",3372,379,553052,"https://leetcode.com/tag/string/
https://leetcode.com/tag/backtracking/",,,y,1219959.0
https://leetcode.com/problems/4sum,18. 4Sum,Medium,"Given an array nums of n integers and an integer target, are there elements a, b, c, and d in nums such that a + b + c + d = target? Find all unique quadruplets in the array which gives the sum of target.
Note:
The solution set must not contain duplicate quadruplets.
Example:
Given array nums = [1, 0, -1, 0, -2, 2], and target = 0.

A solution set is:
[
  [-1,  0, 0, 1],
  [-2, -1, 1, 2],
  [-2,  0, 0, 2]
]
",1615,303,307349,"https://leetcode.com/tag/array/
https://leetcode.com/tag/hash-table/
https://leetcode.com/tag/two-pointers/",,,y,937214.0
https://leetcode.com/problems/remove-nth-node-from-end-of-list,19. Remove Nth Node From End of List,Medium,"Given a linked list, remove the n-th node from the end of list and return its head.
Example:
Given linked list: 1->2->3->4->5, and n = 2.

After removing the second node from the end, the linked list becomes 1->2->3->5.
Note:
Given n will always be valid.
Follow up:
Could you do this in one pass?
",2811,201,558247,"https://leetcode.com/tag/linked-list/
https://leetcode.com/tag/two-pointers/",,"Maintain two pointers and update one with a delay of n steps.
",y,1600897.0
https://leetcode.com/problems/valid-parentheses,20. Valid Parentheses,Easy,"Given a string containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.
An input string is valid if:
Note that an empty string is also considered valid.
Example 1:
Input: ""()""
Output: true
Example 2:
Input: ""()[]{}""
Output: true
Example 3:
Input: ""(]""
Output: false
Example 4:
Input: ""([)]""
Output: false
Example 5:
Input: ""{[]}""
Output: true
",4434,205,909990,"https://leetcode.com/tag/string/
https://leetcode.com/tag/stack/",,"An interesting property about a valid parenthesis expression is that a sub-expression of a valid expression should also be a valid expression. (Not every sub-expression) e.g.
{ { } [ ] [ [ [ ] ] ] } is VALID expression
          [ [ [ ] ] ]    is VALID sub-expression
  { } [ ]                is VALID sub-expression
Can we exploit this recursive structure somehow?
What if whenever we encounter a matching pair of parenthesis in the expression, we simply remove it from the expression? This would keep on shortening the expression. e.g.
{ { ( { } ) } }
      |_|

{ { (      ) } }
    |______|

{ {          } }
  |__________|

{                }
|________________|

VALID EXPRESSION!
The stack data structure can come in handy here in representing this recursive structure of the problem. We can't really process this from the inside out because we don't have an idea about the overall structure. But, the stack can help us process this recursively i.e. from outside to inwards.
",y,2378152.0
https://leetcode.com/problems/merge-two-sorted-lists,21. Merge Two Sorted Lists,Easy,"Merge two sorted linked lists and return it as a new list. The new list should be made by splicing together the nodes of the first two lists.
Example:
Input: 1->2->4, 1->3->4
Output: 1->1->2->3->4->4

",3608,537,901627,https://leetcode.com/tag/linked-list/,,,y,1737147.0
https://leetcode.com/problems/generate-parentheses,22. Generate Parentheses,Medium,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses.
For example, given n = 3, a solution set is:
[
  ""((()))"",
  ""(()())"",
  ""(())()"",
  ""()(())"",
  ""()()()""
]
",4425,242,495659,"https://leetcode.com/tag/string/
https://leetcode.com/tag/backtracking/",,,y,818832.0
https://leetcode.com/problems/merge-k-sorted-lists,23. Merge k Sorted Lists,Hard,"Merge k sorted linked lists and return it as one sorted list. Analyze and describe its complexity.
Example:
Input:
[
  1->4->5,
  1->3->4,
  2->6
]
Output: 1->1->2->3->4->4->5->6
",4072,260,583347,"https://leetcode.com/tag/linked-list/
https://leetcode.com/tag/divide-and-conquer/
https://leetcode.com/tag/heap/",,,y,1505029.0
https://leetcode.com/problems/swap-nodes-in-pairs,24. Swap Nodes in Pairs,Medium,"Given a linked list, swap every two adjacent nodes and return its head.
You may not modify the values in the list's nodes, only nodes itself may be changed.
 
Example:
Given 1->2->3->4, you should return the list as 2->1->4->3.
",1903,158,431099,https://leetcode.com/tag/linked-list/,,,y,882329.0
https://leetcode.com/problems/reverse-nodes-in-k-group,25. Reverse Nodes in k-Group,Hard,"Given a linked list, reverse the nodes of a linked list k at a time and return its modified list.
k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes in the end should remain as it is.

Example:
Given this linked list: 1->2->3->4->5
For k = 2, you should return: 2->1->4->3->5
For k = 3, you should return: 3->2->1->4->5
Note:
Only constant extra memory is allowed.
You may not alter the values in the list's nodes, only nodes itself may be changed.
",1828,346,245045,https://leetcode.com/tag/linked-list/,,,y,609593.0
https://leetcode.com/problems/remove-duplicates-from-sorted-array,26. Remove Duplicates from Sorted Array,Easy,"Given a sorted array nums, remove the duplicates in-place such that each element appear only once and return the new length.
Do not allocate extra space for another array, you must do this by modifying the input array in-place with O(1) extra memory.
Example 1:
Given nums = [1,1,2],

Your function should return length = 2, with the first two elements of nums being 1 and 2 respectively.

It doesn't matter what you leave beyond the returned length.
Example 2:
Given nums = [0,0,1,1,1,2,2,3,3,4],

Your function should return length = 5, with the first five elements of nums being modified to 0, 1, 2, 3, and 4 respectively.

It doesn't matter what values are set beyond the returned length.
Clarification:
Confused why the returned value is an integer but your answer is an array?
Note that the input array is passed in by reference, which means modification to the input array will be known to the caller as well.
Internally you can think of this:
// nums is passed in by reference. (i.e., without making a copy)
int len = removeDuplicates(nums);

// any modification to nums in your function would be known by the caller.
// using the length returned by your function, it prints the first len elements.
for (int i = 0; i < len; i++) {
    print(nums[i]);
}
",2234,4660,869647,"https://leetcode.com/tag/array/
https://leetcode.com/tag/two-pointers/",,"In this problem, the key point to focus on is the input array being sorted. As far as duplicate elements are concerned, what is their positioning in the array when the given array is sorted? Look at the image above for the answer. If we know the position of one of the elements, do we also know the positioning of all the duplicate elements?
We need to modify the array in-place and the size of the final array would potentially be smaller than the size of the input array. So, we ought to use a two-pointer approach here. One, that would keep track of the current element in the original array and another one for just the unique elements.
Essentially, once an element is encountered, you simply need to bypass its duplicates and move on to the next unique element.
",y,1984999.0
https://leetcode.com/problems/remove-element,27. Remove Element,Easy,"Given an array nums and a value val, remove all instances of that value in-place and return the new length.
Do not allocate extra space for another array, you must do this by modifying the input array in-place with O(1) extra memory.
The order of elements can be changed. It doesn't matter what you leave beyond the new length.
Example 1:
Given nums = [3,2,2,3], val = 3,

Your function should return length = 2, with the first two elements of nums being 2.

It doesn't matter what you leave beyond the returned length.
Example 2:
Given nums = [0,1,2,2,3,0,4,2], val = 2,

Your function should return length = 5, with the first five elements of nums containing 0, 1, 3, 0, and 4.

Note that the order of those five elements can be arbitrary.

It doesn't matter what values are set beyond the returned length.
Clarification:
Confused why the returned value is an integer but your answer is an array?
Note that the input array is passed in by reference, which means modification to the input array will be known to the caller as well.
Internally you can think of this:
// nums is passed in by reference. (i.e., without making a copy)
int len = removeElement(nums, val);

// any modification to nums in your function would be known by the caller.
// using the length returned by your function, it prints the first len elements.
for (int i = 0; i < len; i++) {
    print(nums[i]);
}
",1232,2470,557203,"https://leetcode.com/tag/array/
https://leetcode.com/tag/two-pointers/",,"The problem statement clearly asks us to modify the array in-place and it also says that the element beyond the new length of the array can be anything. Given an element, we need to remove all the occurrences of it from the array. We don't technically need to remove that element per-say, right?
We can move all the occurrences of this element to the end of the array. Use two pointers!
Yet another direction of thought is to consider the elements to be removed as non-existent. In a single pass, if we keep copying the visible elements in-place, that should also solve this problem for us.
",y,1178673.0
https://leetcode.com/problems/implement-strstr,28. Implement strStr(),Easy,"Implement strStr().
Return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack.
Example 1:
Input: haystack = ""hello"", needle = ""ll""
Output: 2
Example 2:
Input: haystack = ""aaaaa"", needle = ""bba""
Output: -1
Clarification:
What should we return when needle is an empty string? This is a great question to ask during an interview.
For the purpose of this problem, we will return 0 when needle is an empty string. This is consistent to C's strstr() and Java's indexOf().
",1360,1751,607645,"https://leetcode.com/tag/two-pointers/
https://leetcode.com/tag/string/",,,y,1789066.0
https://leetcode.com/problems/divide-two-integers,29. Divide Two Integers,Medium,"Given two integers dividend and divisor, divide two integers without using multiplication, division and mod operator.
Return the quotient after dividing dividend by divisor.
The integer division should truncate toward zero, which means losing its fractional part. For example, truncate(8.345) = 8 and truncate(-2.7335) = -2.
Example 1:
Input: dividend = 10, divisor = 3
Output: 3
Explanation: 10/3 = truncate(3.33333..) = 3.
Example 2:
Input: dividend = 7, divisor = -3
Output: -2
Explanation: 7/-3 = truncate(-2.33333..) = -2.
Note:
Both dividend and divisor will be 32-bit signed integers.
The divisor will never be 0.
Assume we are dealing with an environment which could only store integers within the 32-bit signed integer range: [−231,  231 − 1]. For the purpose of this problem, assume that your function returns 231 − 1 when the division result overflows.
",1004,4765,255609,"https://leetcode.com/tag/math/
https://leetcode.com/tag/binary-search/",,,y,1578641.0
https://leetcode.com/problems/substring-with-concatenation-of-all-words,30. Substring with Concatenation of All Words,Hard,"You are given a string, s, and a list of words, words, that are all of the same length. Find all starting indices of substring(s) in s that is a concatenation of each word in words exactly once and without any intervening characters.
 
Example 1:
Input:
  s = ""barfoothefoobarman"",
  words = [""foo"",""bar""]
Output: [0,9]
Explanation: Substrings starting at index 0 and 9 are ""barfoo"" and ""foobar"" respectively.
The output order does not matter, returning [9,0] is fine too.
Example 2:
Input:
  s = ""wordgoodgoodgoodbestword"",
  words = [""word"",""good"",""best"",""word""]
Output: []
",757,1149,166361,"https://leetcode.com/tag/hash-table/
https://leetcode.com/tag/two-pointers/
https://leetcode.com/tag/string/",,,y,668028.0
https://leetcode.com/problems/next-permutation,31. Next Permutation,Medium,"Implement next permutation, which rearranges numbers into the lexicographically next greater permutation of numbers.
If such arrangement is not possible, it must rearrange it as the lowest possible order (ie, sorted in ascending order).
The replacement must be in-place and use only constant extra memory.
Here are some examples. Inputs are in the left-hand column and its corresponding outputs are in the right-hand column.
1,2,3 → 1,3,2
3,2,1 → 1,2,3
1,1,5 → 1,5,1
",2895,1021,335099,https://leetcode.com/tag/array/,,,y,1048929.0
https://leetcode.com/problems/longest-valid-parentheses,32. Longest Valid Parentheses,Hard,"Given a string containing just the characters '(' and ')', find the length of the longest valid (well-formed) parentheses substring.
Example 1:
Input: ""(()""
Output: 2
Explanation: The longest valid parentheses substring is ""()""
Example 2:
Input: "")()())""
Output: 4
Explanation: The longest valid parentheses substring is ""()()""
",2971,126,260714,"https://leetcode.com/tag/string/
https://leetcode.com/tag/dynamic-programming/",,,y,945713.0
https://leetcode.com/problems/search-in-rotated-sorted-array,33. Search in Rotated Sorted Array,Medium,"Suppose an array sorted in ascending order is rotated at some pivot unknown to you beforehand.
(i.e., [0,1,2,4,5,6,7] might become [4,5,6,7,0,1,2]).
You are given a target value to search. If found in the array return its index, otherwise return -1.
You may assume no duplicate exists in the array.
Your algorithm's runtime complexity must be in the order of O(log n).
Example 1:
Input: nums = [4,5,6,7,0,1,2], target = 0
Output: 4
Example 2:
Input: nums = [4,5,6,7,0,1,2], target = 3
Output: -1
",4047,413,609638,"https://leetcode.com/tag/array/
https://leetcode.com/tag/binary-search/",,,y,1808245.0
https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,34. Find First and Last Position of Element in Sorted Array,Medium,"Given an array of integers nums sorted in ascending order, find the starting and ending position of a given target value.
Your algorithm's runtime complexity must be in the order of O(log n).
If the target is not found in the array, return [-1, -1].
Example 1:
Input: nums = [5,7,7,8,8,10], target = 8
Output: [3,4]
Example 2:
Input: nums = [5,7,7,8,8,10], target = 6
Output: [-1,-1]
",2852,127,448576,"https://leetcode.com/tag/array/
https://leetcode.com/tag/binary-search/",,,y,1269105.0
https://leetcode.com/problems/search-insert-position,35. Search Insert Position,Easy,"Given a sorted array and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order.
You may assume no duplicates in the array.
Example 1:
Input: [1,3,5,6], 5
Output: 2
Example 2:
Input: [1,3,5,6], 2
Output: 1
Example 3:
Input: [1,3,5,6], 7
Output: 4
Example 4:
Input: [1,3,5,6], 0
Output: 0
",1928,229,544859,"https://leetcode.com/tag/array/
https://leetcode.com/tag/binary-search/",,,y,1311428.0
https://leetcode.com/problems/valid-sudoku,36. Valid Sudoku,Medium,"Determine if a 9x9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules:
A partially filled sudoku which is valid.
The Sudoku board could be partially filled, where empty cells are filled with the character '.'.
Example 1:
Input:
[
  [""5"",""3"",""."",""."",""7"",""."",""."",""."","".""],
  [""6"",""."",""."",""1"",""9"",""5"",""."",""."","".""],
  [""."",""9"",""8"",""."",""."",""."",""."",""6"","".""],
  [""8"",""."",""."",""."",""6"",""."",""."",""."",""3""],
  [""4"",""."",""."",""8"",""."",""3"",""."",""."",""1""],
  [""7"",""."",""."",""."",""2"",""."",""."",""."",""6""],
  [""."",""6"",""."",""."",""."",""."",""2"",""8"","".""],
  [""."",""."",""."",""4"",""1"",""9"",""."",""."",""5""],
  [""."",""."",""."",""."",""8"",""."",""."",""7"",""9""]
]
Output: true
Example 2:
Input:
[
  [""8"",""3"",""."",""."",""7"",""."",""."",""."","".""],
  [""6"",""."",""."",""1"",""9"",""5"",""."",""."","".""],
  [""."",""9"",""8"",""."",""."",""."",""."",""6"","".""],
  [""8"",""."",""."",""."",""6"",""."",""."",""."",""3""],
  [""4"",""."",""."",""8"",""."",""3"",""."",""."",""1""],
  [""7"",""."",""."",""."",""2"",""."",""."",""."",""6""],
  [""."",""6"",""."",""."",""."",""."",""2"",""8"","".""],
  [""."",""."",""."",""4"",""1"",""9"",""."",""."",""5""],
  [""."",""."",""."",""."",""8"",""."",""."",""7"",""9""]
]
Output: false
Explanation: Same as Example 1, except with the 5 in the top left corner being 
    modified to 8. Since there are two 8's in the top left 3x3 sub-box, it is invalid.
Note:
A Sudoku board (partially filled) could be valid but is not necessarily solvable.
Only the filled cells need to be validated according to the mentioned rules.
The given board contain only digits 1-9 and the character '.'.
The given board size is always 9x9.
",1371,424,328410,https://leetcode.com/tag/hash-table/,,,y,695171.0
https://leetcode.com/problems/sudoku-solver,37. Sudoku Solver,Hard,"Write a program to solve a Sudoku puzzle by filling the empty cells.
A sudoku solution must satisfy all of the following rules:
Empty cells are indicated by the character '.'.
A sudoku puzzle...
...and its solution numbers marked in red.
Note:
The given board contain only digits 1-9 and the character '.'.
You may assume that the given Sudoku puzzle will have a single unique solution.
The given board size is always 9x9.
",1476,86,170855,"https://leetcode.com/tag/hash-table/
https://leetcode.com/tag/backtracking/",,,y,411326.0
